|order|    qa|
|  int|  char|
     1   Pass
     2   Pass
     3   Pass
     4   Pass
     5   Pass
     6   Pass
     7   Pass
     8   Pass
     9   Pass
    10   Pass
    11   Pass
    12   Pass
    13   Pass
    14   Pass
    15   Pass
    16   Pass
    17   Pass
    18   Pass
    19   Pass
    20   Pass
    21   Pass
    22   Pass
    23   Pass
    24   Pass
    25   Pass
    26   Pass
    27   Pass
    28   Pass
    29   Pass
    30   Pass
    31   Pass
    32   Pass
    33   Pass
    34   Pass
    35   Pass
    36   Pass
