obs_publisher_did,instrument_name,dataproduct_type,access_url,access_format,s_ra,s_dec,em_min,em_max,t_exptime
ivo://eso.org/ID?ADP.2021-10-05T09:44:40.688,ESPRESSO,spectrum,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2021-10-05T09:44:40.688,application/x-votable+xml;content=datalink,0.182681,-54.83145,3.7719999999999996e-07,7.89998e-07,12750.0
ivo://eso.org/ID?ADP.2021-10-05T09:55:56.321,ESPRESSO,spectrum,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2021-10-05T09:55:56.321,application/x-votable+xml;content=datalink,0.183574,-54.83033,3.7719999999999996e-07,7.89998e-07,12750.0
ivo://eso.org/ID?ADP.2018-11-08T14:13:41.982,FEROS,spectrum,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-11-08T14:13:41.982,application/x-votable+xml;content=datalink,0.159462,-54.81641,3.5273700000000004e-07,9.21627e-07,300.044
ivo://eso.org/ID?ADP.2018-11-08T14:13:42.134,FEROS,spectrum,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-11-08T14:13:42.134,application/x-votable+xml;content=datalink,0.157942,-54.81648,3.5273399999999996e-07,9.216180000000001e-07,300.041
ivo://eso.org/ID?ADP.2018-11-08T14:13:42.172,FEROS,spectrum,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-11-08T14:13:42.172,application/x-votable+xml;content=datalink,0.158676,-54.81628,3.5273399999999996e-07,9.216180000000001e-07,300.041
ivo://eso.org/ID?ADP.2018-11-08T14:13:42.214,FEROS,spectrum,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-11-08T14:13:42.214,application/x-votable+xml;content=datalink,0.157629,-54.81667,3.5273399999999996e-07,9.216180000000001e-07,300.043
ivo://eso.org/ID?ADP.2018-11-08T14:13:42.272,FEROS,spectrum,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-11-08T14:13:42.272,application/x-votable+xml;content=datalink,0.157853,-54.81572,3.52731e-07,9.216180000000001e-07,300.043
ivo://eso.org/ID?ADP.2018-11-08T14:13:42.332,FEROS,spectrum,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-11-08T14:13:42.332,application/x-votable+xml;content=datalink,0.156404,-54.81583,3.5273399999999996e-07,9.216180000000001e-07,300.043
ivo://eso.org/ID?ADP.2018-11-08T14:13:42.382,FEROS,spectrum,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-11-08T14:13:42.382,application/x-votable+xml;content=datalink,0.157725,-54.81622,3.52731e-07,9.216180000000001e-07,300.043
ivo://eso.org/ID?ADP.2018-11-08T14:13:42.430,FEROS,spectrum,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-11-08T14:13:42.430,application/x-votable+xml;content=datalink,0.158159,-54.81629,3.52731e-07,9.216180000000001e-07,300.043
ivo://eso.org/ID?ADP.2018-11-08T14:13:42.476,FEROS,spectrum,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-11-08T14:13:42.476,application/x-votable+xml;content=datalink,0.156778,-54.81555,3.5273399999999996e-07,9.216180000000001e-07,300.044
