original_name,archive_name,n_results,notes
Gliese 12,GJ0012,,translated by SOPHIE
HD 3167,HD003167,,translated by SOPHIE
HIP 9618,HD012572,,translated by SOPHIE
HD 17156,HD017156,,translated by SOPHIE
HD 20329,HD020329,,translated by SOPHIE
HD 25463,HD025463,,translated by SOPHIE
HD 63433,HD063433,,translated by SOPHIE
HD 63935,HD063935,,translated by SOPHIE
HIP 41378,BD+101799,,translated by SOPHIE
HD 73344,HD073344,,translated by SOPHIE
55 Cnc,HD075732,,translated by SOPHIE
HD 80653,HD080653,,translated by SOPHIE
HD 80606,HD080606,,translated by SOPHIE
HD 88986,HD088986,,translated by SOPHIE
HD 89345,HD089345,,translated by SOPHIE
HD 97658,HD097658,,translated by SOPHIE
GJ 436,HIP057087,,translated by SOPHIE
GJ 486,HIP062452,,translated by SOPHIE
HD 118203,HD118203,,translated by SOPHIE
HD 149026,HD149026,,translated by SOPHIE
HD 152843,HD152843,,translated by SOPHIE
HD 158259,HD158259,,translated by SOPHIE
HIP 97166,BD+730878,,translated by SOPHIE
HD 189733,HD189733,,translated by SOPHIE
HD 235088,HD235088,,translated by SOPHIE
HD 191939,HD191939,,translated by SOPHIE
HD 332231,HD332231,,translated by SOPHIE
GJ 806,HIP102401,,translated by SOPHIE
HD 207897,HD207897,,translated by SOPHIE
HD 209458,HD209458,,translated by SOPHIE
GJ 9827,BD-025958,,translated by SOPHIE
HIP 116454,BD-004534,,translated by SOPHIE
