Filename,wavelength_low,wavelength_high,has_Li,has_Halpha,has_CaH,has_CaK
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_28_flux.fits.gz,4712.5514,4796.4795,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_06_flux.fits.gz,5275.1018,5369.2776,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.51878_3_10_flux.fits.gz,7854.9127,7993.3293,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_01_flux.fits.gz,4908.8228,4996.3827,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_27_flux.fits.gz,4650.5682,4733.3669,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_20_flux.fits.gz,4258.4199,4334.1711,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.51878_3_02_flux.fits.gz,6668.7696,6787.5512,True,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_14_flux.fits.gz,5990.329,6097.2728,False,False,False,False
data/organized_spectra/KELT-1/ccd3__HI.20170702.51878_3_05_flux.fits.gz,7069.012,7194.5912,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.25362_2_13_flux.fits.gz,5890.4878,5995.6649,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_3_08_flux.fits.gz,7520.4469,7653.499,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_05_flux.fits.gz,5197.8478,5290.6283,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_02_flux.fits.gz,4978.2598,5067.0601,False,False,False,False
data/organized_spectra/KELT-1/ccd2__HI.20170702.51878_2_09_flux.fits.gz,5522.6706,5621.3002,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_03_flux.fits.gz,3515.6627,3584.0064,False,False,False,False
data/organized_spectra/KELT-1/ccd1__HI.20200817.27025_1_19_flux.fits.gz,4207.8758,4282.7684,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_17_flux.fits.gz,6311.6488,6424.2343,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.25362_3_07_flux.fits.gz,7363.2426,7493.7214,False,False,False,False
data/organized_spectra/KELT-1/HI.20170702.51878_2_10_flux.fits.gz,5610.3274,5710.5249,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_16_flux.fits.gz,4062.14,4134.7218,False,False,False,False
data/organized_spectra/KELT-1/HI.20200817.27025_1_11_flux.fits.gz,3838.7447,3908.4798,False,False,False,False
